Feature,Importance
eta_compressor_norm,0.032323204
residual_T4_norm,0.013280311
PR_compressor_norm,0.010663633
eta_turbine_norm,0.0047965767
residual_T2_norm,0.004078148
eta_combustor_norm,0.0037414224
work_ratio_norm,0.0028530618
thermal_efficiency_norm,0.0028064302
eta_turbine_norm_delta,0.0018307789
residual_T4_norm_roll5,0.0015107042
eta_compressor_norm_delta,0.001411434
work_ratio_norm_roll5,0.0012806737
residual_T4_norm_roll5_std,0.0012275991
work_ratio_norm_delta,0.001218545
eta_compressor_norm_roll5,0.0012142002
eta_combustor_norm_delta,0.0011457341
residual_T4_norm_delta,0.0010812036
residual_T2_norm_roll5,0.0009806474
residual_T2_norm_delta,0.0009797539
residual_T2_norm_roll5_std,0.00087824324
eta_combustor_norm_roll5,0.00074661407
work_ratio_norm_roll5_std,0.00074022205
PR_compressor_norm_delta,0.0007226679
thermal_efficiency_norm_delta,0.00070928544
eta_combustor_norm_roll5_std,0.00066121895
eta_turbine_norm_roll5,0.0005407801
PR_compressor_norm_roll5_std,0.0005355501
eta_turbine_norm_roll5_std,0.0005030909
PR_compressor_norm_roll5,0.0004900598
thermal_efficiency_norm_roll5_std,0.00047061424
eta_compressor_norm_roll5_std,0.00045794903
thermal_efficiency_norm_roll5,0.0003988803
